loc_id,file_id,file_type,file_path,source_data,occupancy1,visual_evidence1,data
0,1027528699347642,svi,my_dataset/images/0_1027528699347642.png,<local>,uncertain,"The image quality is relatively clear but lacks definitive signs of habitation such as lights, curtains, or vehicles. The yard appears overgrown and there are no visible decorations.",./my_dataset_run/images/0_1027528699347642.png
0,1027528699347642,svi,my_dataset/images/0_1027528699347642.png,<local>,uncertain,The image is overexposed and lacks clear details to determine signs of habitation or vacancy.,./my_dataset_run/images/0_1742398326699208.png
0,1742398326699208,svi,my_dataset/images/0_1742398326699208.png,<local>,uncertain,"The image quality is relatively clear but lacks definitive signs of habitation such as lights, curtains, or vehicles. The yard appears overgrown and there are no visible decorations.",./my_dataset_run/images/0_1027528699347642.png
0,1742398326699208,svi,my_dataset/images/0_1742398326699208.png,<local>,uncertain,The image is overexposed and lacks clear details to determine signs of habitation or vacancy.,./my_dataset_run/images/0_1742398326699208.png
1,1027528699347642,svi,my_dataset/images/1_1027528699347642.png,<local>,uncertain,The image is of poor quality and does not provide clear details about signs of habitation or vacancy.,./my_dataset_run/images/1_1027528699347642.png
1,1027528699347642,svi,my_dataset/images/1_1027528699347642.png,<local>,uncertain,"The image quality is relatively clear, but there are no definitive signs of habitation or vacancy such as lights, curtains, maintained yard, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/1_1742398326699208.png
1,1742398326699208,svi,my_dataset/images/1_1742398326699208.png,<local>,uncertain,The image is of poor quality and does not provide clear details about signs of habitation or vacancy.,./my_dataset_run/images/1_1027528699347642.png
1,1742398326699208,svi,my_dataset/images/1_1742398326699208.png,<local>,uncertain,"The image quality is relatively clear, but there are no definitive signs of habitation or vacancy such as lights, curtains, maintained yard, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/1_1742398326699208.png
2,576728614982524,svi,my_dataset/images/2_576728614982524.png,<local>,uncertain,"The image quality is clear enough to see that there are no obvious signs of habitation or vacancy, such as lights, curtains, maintained yard, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/2_576728614982524.png
2,576728614982524,svi,my_dataset/images/2_576728614982524.png,<local>,uncertain,"The image quality is clear enough to see that there are no obvious signs of habitation or vacancy, such as lights, curtains, maintained yard, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/2_1826245428223303.png
